Index,AE-category,Therapy group,Severity,Values,Percentages
2,Any AE,mRNA-4157 plus pembrolizumab (n=104),Grade >3,36,35
3,Any AE,mRNA-4157 plus pembrolizumab (n=104),Serious AE,21,20
4,Any AE,mRNA-4157 plus pembrolizumab (n=104),Leading to discontinuation of mRNA-4157,16,15
5,Any AE,mRNA-4157 plus pembrolizumab (n=104),Leading to discontinuation of pembrolizumab,26,25
6,Any AE,mRNA-4157 plus pembrolizumab (n=104),Leading to death,3,3
8,mRNA-4157-related AE,mRNA-4157 plus pembrolizumab (n=104),Grade >3,12,12
9,mRNA-4157-related AE,mRNA-4157 plus pembrolizumab (n=104),Serious AE,3,3
10,mRNA-4157-related AE,mRNA-4157 plus pembrolizumab (n=104),Leading to discontinuation of mRNA-4157 and/or pembrolizumab ,12,12
12,Pembrolizumab-related AE,mRNA-4157 plus pembrolizumab (n=104),Grade ≥3,24,23
13,Pembrolizumab-related AE,mRNA-4157 plus pembrolizumab (n=104),Serious AE,14,13
14,Pembrolizumab-related AE,mRNA-4157 plus pembrolizumab (n=104),Leading to discontinuation of mRNA-4157 and/or pembrolizumab,26,25
16,Any treatment-related AE,mRNA-4157 plus pembrolizumab (n=104),Grade ≥3,26,25
17,Any treatment-related AE,mRNA-4157 plus pembrolizumab (n=104),Serious AE,15,14
18,Any treatment-related AE,mRNA-4157 plus pembrolizumab (n=104),Leading to discontinuation of mRNA-4157 and/or pembrolizumab,29,28
19,Any treatment-related AE,mRNA-4157 plus pembrolizumab (n=104),Any treatment-related AE leading to death,0,0
2,Any AE,Pembrolizumab (n=50),Grade >3,18,36
3,Any AE,Pembrolizumab (n=50),Serious AE,11,22
4,Any AE,Pembrolizumab (n=50),Leading to discontinuation of mRNA-4157,0,0
5,Any AE,Pembrolizumab (n=50),Leading to discontinuation of pembrolizumab,9,18
6,Any AE,Pembrolizumab (n=50),Leading to death,0,0
8,mRNA-4157-related AE,Pembrolizumab (n=50),Grade >3,0,0
9,mRNA-4157-related AE,Pembrolizumab (n=50),Serious AE,0,0
10,mRNA-4157-related AE,Pembrolizumab (n=50),Leading to discontinuation of mRNA-4157 and/or pembrolizumab ,0,0
12,Pembrolizumab-related AE,Pembrolizumab (n=50),Grade ≥3,9,18
13,Pembrolizumab-related AE,Pembrolizumab (n=50),Serious AE,5,10
14,Pembrolizumab-related AE,Pembrolizumab (n=50),Leading to discontinuation of mRNA-4157 and/or pembrolizumab,7,14
16,Any treatment-related AE,Pembrolizumab (n=50),Grade ≥3,9,18
17,Any treatment-related AE,Pembrolizumab (n=50),Serious AE,5,10
18,Any treatment-related AE,Pembrolizumab (n=50),Leading to discontinuation of mRNA-4157 and/or pembrolizumab,7,14
19,Any treatment-related AE,Pembrolizumab (n=50),Any treatment-related AE leading to death,0,0
