Weeks,RFS
0,100
9.075763586,99.13971094
11.26537088,97.24707502
11.64617215,94.49415003
11.96350655,93.35856848
12.34430781,92.67033723
14.37524792,91.77563661
18.62752876,90.81211287
22.53074177,89.91741225
24.68861563,88.95388851
25.35501785,88.02477632
25.92621975,87.09566414
35.00198334,86.06331727
36.84252281,85.13420509
43.25267751,84.20509291
54.74018247,83.24156917
60.32526775,82.03716449
61.72153907,80.86717137
68.86156287,79.46276669
98.11979373,76.80660702
123.9508132,72.05781142
153.5263784,58.56847901
